Dimensão,Clique
3,"dark, ah, moon"
3,"living, im, besides"
3,"knew, mine, living"
3,"every, like, day"
3,"knew, inside, pure"
3,"dreaming, youre, coming"
3,"knew, baby, youre"
3,"knew, cold, would"
3,"crystallineembed, lyric, heart"
3,"deeper, im, die"
3,"oh, weve, awake"
3,"ive, life, ever"
3,"color, see, could"
3,"dark, ah, around"
3,"open, place, come"
3,"love, hate, people"
3,"wonder, like, walk"
3,"av, fedrane, så"
3,"pure, ive, come"
3,"dark, ever, know"
3,"pure, inside, get"
3,"wont, say, let"
3,"love, eye, right"
3,"one, ive, collide"
3,"land, drink, drown"
3,"upset, ah, let"
3,"love, pleasure, mind"
3,"ground, drown, never"
3,"going, wind, see"
3,"love, 29, lyric"
3,"become, cause, everyone"
3,"tell, thing, people"
3,"love, corner, name"
3,"smile, eye, call"
3,"save, heart, ah"
3,"peace, inside, body"
3,"peace, place, come"
3,"friend, side, like"
3,"remember, body, soul"
3,"wine, lyric, 38"
3,"dove, seen, also"
3,"different, inside, lyric"
3,"went, away, light"
3,"every, skin, light"
3,"every, running, youre"
3,"og, ho, vår"
3,"every, youre, cold"
3,"first, step, eye"
3,"every, youre, like"
3,"save, inside, hunger"
3,"oh, sleep, home"
3,"back, call, wave"
3,"kind, away, come"
3,"back, always, shes"
3,"back, might, towards"
3,"first, say, eye"
3,"first, word, skin"
3,"predictable, right, every"
3,"grann, hev, ei"
3,"room, feel, never"
3,"every, somebody, right"
3,"every, away, die"
3,"oh, call, there"
3,"save, collide, world"
3,"every, away, far"
3,"love, ooh, body"
3,"one, arm, dont"
3,"one, arm, see"
3,"love, corner, look"
3,"looking, feel, cant"
3,"higher, place, peace"
3,"hard, could, see"
3,"broken, eye, around"
3,"love, body, let"
3,"call, keep, light"
3,"love, floating, warm"
3,"cut, away, could"
3,"’, alive, keep"
3,"blood, like, 38"
3,"thing, within, like"
3,"looking, around, dance"
3,"love, victim, lyric"
3,"scaring, prey, hunter"
3,"love, everyone, might"
3,"cut, pure, knew"
3,"burning, river, floating"
3,"time, cry, remember"
3,"love, away, youll"
3,"thing, im, step"
3,"time, ah, moon"
3,"matter, let, come"
3,"love, somebody, cold"
3,"’, rain, keep"
3,"love, reaching, youre"
3,"fallenembed, x3, fallen"
3,"oohoohoohoohoohooh, see, moon"
3,"looking, corner, inside"
3,"38, lyric, water"
3,"hide, ahah, could"
3,"thing, im, 30"
3,"love, keep, pleasure"
3,"looking, one, window"
3,"love, storm, u"
3,"one, standing, day"
3,"please, feel, remember"
3,"ho, animal, hunting"
3,"please, somebody, need"
3,"please, light, remember"
3,"become, people, like"
3,"please, light, going"
3,"love, alive, die"
3,"love, alive, keep"
3,"tree, like, lyric"
3,"fallen, 1, feel"
3,"feeling, ive, feel"
3,"feeling, ive, girl"
3,"feeling, oooh, encrypted"
3,"turned, hate, light"
3,"get, far, see"
3,"get, like, people"
3,"changed, meet, surrounded"
3,"part, heart, like"
3,"love, keyhole, inside"
3,"love, pain, let"
3,"story, eye, never"
3,"part, feel, like"
3,"peace, inside, word"
3,"shadow, see, could"
3,"part, feel, behind"
3,"feeling, know, got"
3,"get, away, come"
3,"stone, peace, inside"
3,"love, rain, keep"
3,"fallen, feel, close"
3,"lead, word, know"
3,"peace, inside, keep"
3,"rest, mine, heart"
3,"make, stranger, like"
3,"mother, knew, inside"
3,"way, know, within"
3,"som, rot, sunge"
3,"foot, cold, red"
3,"watching, quiet, right"
3,"beauty, might, pain"
3,"make, ever, ’"
3,"fine, also, need"
3,"cry, dont, please"
3,"cry, dont, ah"
3,"voice, mind, moon"
3,"falling, like, ground"
3,"falling, never, heart"
3,"night, morning, never"
3,"make, god, like"
3,"towards, might, blue"
3,"world, let, someone"
3,"understand, u, storm"
3,"towards, word, head"
3,"night, morning, broken"
3,"love, lonely, pain"
3,"world, one, tell"
3,"head, inside, around"
3,"mother, oh, break"
3,"towards, go, around"
3,"change, every, light"
3,"youve, might, spirit"
3,"night, undone, also"
3,"fine, cause, side"
3,"third, thing, believer"
3,"child, mother, come"
3,"world, madness, lie"
3,"change, animal, lose"
3,"grace, u, inside"
3,"world, u, place"
3,"fine, cause, control"
3,"change, let, girl"
3,"anger, could, see"
3,"anger, could, emotion"
3,"blue, eye, might"
3,"blue, cold, high"
3,"sleep, come, undone"
3,"soul, youre, animal"
3,"falling, open, ground"
3,"sleep, come, stay"
3,"make, youre, alone"
3,"make, youre, sky"
3,"girl, fine, life"
3,"hmmtalalatalalalatalalalahmmta, also, belong"
3,"im, belong, word"
3,"make, ever, guide"
3,"falling, skin, every"
3,"third, hate, make"
3,"change, scene, open"
3,"third, believer, make"
3,"foot, around, eye"
3,"im, hate, belong"
3,"love, ever, heart"
3,"sky, collides, life"
3,"make, moon, like"
3,"moon, give, people"
3,"war, mind, inside"
3,"love, ever, could"
3,"growing, walk, lyric"
3,"mother, could, shout"
3,"make, take, stay"
3,"mother, could, wont"
3,"make, take, guide"
3,"world, hate, light"
3,"talalatalalatalalatalalahmmtalalatalalalalala, churchyard, like"
3,"make, return, till"
3,"world, someone, calling"
3,"make, beauty, open"
3,"sound, land, wind"
3,"moon, give, see"
3,"face, youre, touch"
3,"make, beauty, pain"
3,"take, body, wind"
3,"water, reaching, reached"
3,"wine, lyric, feel"
3,"love, light, heat"
3,"make, alone, ah"
3,"dangerous, knew, end"
3,"world, higher, take"
3,"black, hate, warm"
3,"friend, made, like"
3,"black, heart, warm"
3,"sea, im, lyric"
3,"friend, home, like"
3,"make, beauty, world"
3,"alone, walk, road"
3,"world, know, girl"
3,"take, voice, undone"
3,"head, ocean, im"
3,"world, voice, take"
3,"emotion, know, ever"
3,"home, youll, u"
3,"mother, become, ah"
3,"home, youll, away"
3,"many, friend, like"
3,"sky, inside, around"
3,"far, know, see"
3,"love, nobody, feel"
3,"gone, away, would"
3,"life, walk, fell"
3,"fire, ah, know"
3,"contributorsdaydreamer, 2, lyric"
3,"satellite, rain, also"
3,"life, walk, lyric"
3,"life, control, hunting"
3,"alone, might, youre"
